"","x"
"719","3558745"
"720","3559794"
"721","3559936"
"722","3562910"
"723","3564790"
"724","3564919"
"725","3565524"
"726","3565663"
"727","3567984"
"728","3570085"
"729","3570103"
"730","3572041"
"731","3577612"
"732","3579458"
"733","3579501"
"734","3580769"
"735","3585272"
"736","3587553"
"737","3588346"
"738","3591044"
"739","3591704"
"740","3599669"
"741","3600283"
"742","3605268"
"743","3607927"
"744","3609592"
"745","3611625"
"746","3613725"
"747","3618736"
"748","3619170"
"749","3619189"
"750","3619191"
"751","3628923"
"752","3630223"
"753","3632907"
"754","3634811"
"755","3637367"
"756","3638546"
"757","3638566"
"758","3638819"
"759","3646226"
"760","3650861"
"761","3654699"
"762","3658925"
"763","3662086"
"764","3662106"
"765","3662139"
"766","3667332"
"767","3670668"
"768","3671695"
"769","3674840"
"770","3676113"
"771","3676156"
"772","3677164"
"773","3677167"
"774","3677176"
"775","3679812"
"776","3687889"
"777","3692999"
"778","3693401"
"779","3697799"
"780","3699768"
"781","3699810"
"782","3699842"
"783","3699880"
"784","3703164"
"785","3708874"
"786","3711869"
"787","3717052"
"788","3718775"
"789","3720130"
"790","3720402"
"791","3721010"
"792","3721251"
"793","3722152"
"794","3722355"
"795","3725906"
"796","3725984"
"797","3725998"
"798","3726012"
"799","3729419"
"800","3733590"
"801","3734379"
"802","3735447"
"803","3740542"
"804","3740596"
"805","3740632"
"806","3740998"
"807","3742447"
"808","3743530"
"809","3744589"
"810","3744620"
"811","3747792"
"812","3749542"
"813","3749544"
"814","3749566"
"815","3749608"
"816","3749710"
"817","3749730"
"818","3751002"
"819","3756649"
"820","3759335"
"821","3761164"
"822","3761714"
"823","3765167"
"824","3766914"
"825","3770390"
"826","3772279"
"827","3774535"
"828","3775842"
"829","3777470"
"830","3777991"
"831","3779756"
"832","3786868"
"833","3788560"
"834","3789442"
"835","3791935"
"836","3792273"
"837","3793827"
"838","3795184"
"839","3799542"
"840","3801264"
"841","3801492"
"842","3802396"
"843","3803020"
"844","3803120"
"845","3807501"
"846","3807595"
"847","3809726"
"848","3809732"
"849","3809778"
"850","3809788"
"851","3809826"
"852","3811596"
"853","3812922"
"854","3813840"
"855","3815014"
"856","3815610"
"857","3816385"
"858","3816509"
"859","3818268"
"860","3818376"
"861","3819569"
"862","3820612"
"863","3821095"
"864","3821995"
"865","3822049"
"866","3824874"
