"","x"
"1265","2540007"
"1266","2540477"
"1267","2541699"
"1268","2542226"
"1269","2542238"
"1270","2542711"
"1271","2542737"
"1272","2542816"
"1273","2542972"
"1274","2543163"
"1275","2544012"
"1276","2544219"
"1277","2544353"
"1278","2544484"
"1279","2544781"
"1280","2544925"
"1281","2545007"
"1282","2545092"
"1283","2545509"
"1284","2545534"
"1285","2545653"
"1286","2545681"
"1287","2545793"
"1288","2545811"
"1289","2545953"
"1290","2546008"
"1291","2546054"
"1292","2546795"
"1293","2547090"
"1294","2547114"
"1295","2547231"
"1296","2547386"
"1297","2547454"
"1298","2547716"
"1299","2548274"
"1300","2549092"
"1301","2549565"
"1302","2550122"
"1303","2550755"
"1304","2550790"
"1305","2550959"
"1306","2551284"
"1307","2551651"
"1308","2551690"
"1309","2551786"
"1310","2551924"
"1311","2552051"
"1312","2552153"
"1313","2552368"
"1314","2552470"
"1315","2553576"
"1316","2553682"
"1317","2553771"
"1318","2554975"
"1319","2555252"
"1320","2555277"
"1321","2555630"
"1322","2556667"
"1323","2556752"
"1324","2557571"
"1325","2557585"
"1326","2557587"
"1327","2557589"
"1328","2557591"
"1329","2557593"
"1330","2557595"
"1331","2557599"
"1332","2557601"
"1333","2557603"
"1334","2557605"
"1335","2557607"
"1336","2557609"
"1337","2557611"
"1338","2557613"
"1339","2557615"
"1340","2557617"
"1341","2557619"
"1342","2557621"
"1343","2557623"
"1344","2557625"
"1345","2557627"
"1346","2557631"
"1347","2557635"
"1348","2557637"
"1349","2557639"
"1350","2557645"
"1351","2557649"
"1352","2557651"
"1353","2557653"
"1354","2557657"
"1355","2557659"
"1356","2557663"
"1357","2557667"
"1358","2557759"
"1359","2557948"
"1360","2557956"
"1361","2558045"
"1362","2558150"
"1363","2558355"
"1364","2558612"
"1365","2558736"
"1366","2558876"
"1367","2558924"
"1368","2559386"
"1369","2559619"
"1370","2559849"
"1371","2559967"
"1372","2560149"
"1373","2560229"
"1374","2560254"
"1375","2560317"
"1376","2560625"
"1377","2560881"
"1378","2561182"
"1379","2561201"
"1380","2561216"
"1381","2561955"
"1382","2562198"
"1383","2562435"
"1384","2562529"
"1385","2562605"
"1386","2562685"
"1387","2562729"
"1388","2562821"
"1389","2562965"
"1390","2563785"
"1391","2564599"
"1392","2565143"
"1393","2565145"
"1394","2565146"
"1395","2565147"
"1396","2565148"
"1397","2565153"
"1398","2565155"
"1399","2565156"
"1400","2565159"
"1401","2565160"
"1402","2565161"
"1403","2565163"
"1404","2565165"
"1405","2565168"
"1406","2565169"
"1407","2565172"
"1408","2565174"
"1409","2565176"
"1410","2565186"
"1411","2565188"
"1412","2565196"
"1413","2565198"
"1414","2565200"
"1415","2565207"
"1416","2565213"
"1417","2565219"
"1418","2565221"
"1419","2565223"
"1420","2565225"
"1421","2565227"
"1422","2565237"
"1423","2565239"
"1424","2565241"
"1425","2565246"
"1426","2565262"
"1427","2565266"
"1428","2565269"
"1429","2565277"
"1430","2565279"
"1431","2565280"
"1432","2565281"
"1433","2565283"
"1434","2565284"
"1435","2565286"
"1436","2565335"
"1437","2565337"
"1438","2565339"
"1439","2565341"
