"","x"
"786","3214800"
"787","2436405"
"788","2793054"
"789","3763148"
"790","2775508"
"791","3306567"
"792","2342176"
"793","3433843"
"794","3485863"
"795","3332938"
"796","3807488"
"797","2681195"
"798","3835879"
"799","2867693"
"800","3831302"
"801","3423184"
"802","3904226"
"803","3565361"
"804","2876608"
"805","3407583"
"806","2599911"
"807","3336043"
"808","3212313"
"809","2685034"
"810","2888399"
"811","3416909"
"812","3233049"
"813","2418000"
"814","3147591"
"815","2523604"
"816","2813364"
"817","3961496"
"818","3306553"
"819","3830205"
"820","2422885"
"821","2768145"
"822","3391093"
"823","3902743"
"824","2711644"
"825","2484422"
"826","3762416"
"827","2436404"
"828","2989493"
"829","3334137"
"830","3255938"
"831","3556274"
"832","2967151"
"833","2654306"
"834","2536400"
"835","3915479"
"836","3458451"
"837","3862273"
"838","2815965"
"839","3809677"
"840","2587790"
"841","3375999"
"842","3732092"
"843","2339682"
"844","3743393"
"845","3070183"
"846","2840629"
"847","4016308"
"848","3220513"
"849","3013255"
"850","3846742"
"851","3486383"
"852","2738942"
"853","2662397"
"854","3837731"
"855","3737697"
"856","2728448"
"857","2653932"
"858","2814855"
"859","3615791"
"860","3421118"
"861","2775475"
"862","3556158"
"863","3995633"
"864","3371225"
"865","3371642"
"866","3399678"
"867","3914771"
"868","3819659"
"869","3740508"
"870","2514497"
"871","2635983"
"872","2890148"
"873","3306520"
"874","3580791"
"875","2895792"
"876","2708791"
"877","4030063"
"878","3995666"
"879","3470378"
"880","2338719"
"881","3076076"
"882","3094447"
"883","3907524"
"884","3422326"
"885","3474937"
"886","3726020"
"887","3347658"
"888","2417095"
"889","2318813"
"890","3809685"
"891","3470344"
"892","2536332"
"893","2503109"
"894","3925439"
"895","3504760"
"896","3556096"
"897","3867842"
"898","2364155"
"899","4028716"
"900","3183238"
"901","2436164"
"902","2359431"
"903","3456700"
"904","2459173"
"905","2622680"
"906","4031068"
"907","2982381"
"908","3284188"
"909","2712040"
"910","3774283"
"911","2438207"
"912","2972063"
"913","2343170"
"914","3319898"
"915","2628081"
"916","3444472"
"917","3809810"
"918","3841134"
"919","3960902"
"920","3445670"
"921","3551837"
"922","3354535"
"923","2908502"
"924","2841301"
"925","3212346"
