"","x"
"637","3556158"
"638","2968436"
"639","2467205"
"640","3749734"
"641","3474545"
"642","2968434"
"643","2536332"
"644","2841308"
"645","3472090"
"646","3683651"
"647","3427853"
"648","3556232"
"649","3556274"
"650","2968363"
"651","3852783"
"652","3145955"
"653","2363784"
"654","3212348"
"655","3470340"
"656","3725922"
"657","2968432"
"658","2901769"
"659","3556198"
"660","3392890"
"661","2968279"
"662","3556116"
"663","3322077"
"664","3677197"
"665","3399398"
"666","2383777"
"667","3716664"
"668","3255507"
"669","3014671"
"670","3722316"
"671","3345107"
"672","2383880"
"673","3570050"
"674","2320071"
"675","3556308"
"676","2844250"
"677","2482932"
"678","2482933"
"679","3253443"
"680","3662236"
"681","4114579"
"682","3475038"
"683","2674317"
"684","3740648"
"685","2908474"
"686","2908505"
"687","3319313"
"688","3551689"
"689","3275404"
"690","3416492"
"691","3470422"
"692","3475030"
"693","2565269"
"694","2536402"
"695","3556094"
"696","2840752"
"697","3831302"
"698","2968399"
"699","3351767"
"700","3807488"
"701","3255513"
"702","3392880"
"703","2669979"
"704","3831178"
"705","2934274"
"706","3323824"
"707","3349660"
"708","3018484"
"709","3786868"
"710","2565935"
"711","2968401"
"712","3783565"
"713","3065740"
"714","2735027"
"715","3337042"
"716","2749380"
"717","3752271"
"718","3706659"
"719","2643217"
"720","3150579"
"721","3793827"
"722","2900940"
"723","4031692"
"724","2968349"
"725","3551851"
"726","3556202"
"727","2968377"
"728","2763154"
"729","3319323"
"730","3551855"
"731","4094247"
"732","4117552"
"733","3214800"
"734","3360401"
"735","4074842"
"736","2923661"
"737","3407583"
"738","2853426"
"739","3809690"
"740","2901712"
"741","3725856"
"742","3549757"
"743","3958347"
"744","3556110"
"745","3096512"
"746","2359439"
"747","3570115"
"748","3556148"
"749","3556158"
"750","2968436"
"751","2467205"
"752","3749734"
"753","3474545"
"754","2968434"
"755","2536332"
"756","2841308"
"757","3472090"
"758","3683651"
"759","3427853"
"760","3556232"
"761","3556274"
"762","2968363"
"763","3852783"
