"","V1","X1"
"176","67.843137254902","2531129"
"177","60.1252723311547","2531129"
"178","68.9324618736383","2531129"
"179","58.6601307189542","2531129"
"180","72.3638344226579","2531129"
"181","68.5675381263617","2531129"
"182","63.0392156862745","2531129"
"183","64.7440087145969","2531129"
"184","64.8747276688453","2531129"
"185","54.9455337690632","2531129"
"186","54.6623093681917","2531129"
"187","69.177559912854","2531129"
"188","67.6906318082789","2531129"
"189","67.8921568627451","2531129"
"190","65.6263616557734","2531129"
"191","67.5326797385621","2531129"
"192","59.537037037037","2531129"
"193","60.5610021786492","2531129"
"194","65.5283224400871","2531129"
"195","68.0337690631808","2531129"
"196","67.7668845315904","2531129"
"197","60.7298474945534","2531129"
"198","70.3649237472767","2531129"
"199","64.5642701525054","2531129"
"200","61.5631808278867","2531129"
