,AUC,CoxSnell,Nagelkerke,McFadden,Features
30271,77.40196078,0.169667282,0.180978435,0.067059637,3808600 3818376 2674317 diagnosis
5714,77.38562092,0.198830036,0.212085372,0.07995494,2531129 3346453 3818376 diagnosis
3157,77.36928105,0.140768561,0.150153132,0.054720328,2385696 2968399 2968349 diagnosis
1879,77.3583878,0.254849547,0.271839517,0.106099087,2385696 2601230 2773545 diagnosis
2068,77.29302832,0.239829753,0.255818404,0.098901384,2385696 2773545 2968349 diagnosis
3205,77.2875817,0.138450765,0.147680816,0.053748712,2385696 2968349 3214800 diagnosis
3206,77.24400871,0.140660047,0.150037383,0.054674781,2385696 2968349 3407583 diagnosis
20407,77.22766885,0.119927187,0.127922333,0.046076301,3103062 3336422 2968349 diagnosis
6009,77.22222222,0.147706763,0.15755388,0.057644553,2531129 3780271 3818376 diagnosis
6068,77.2167756,0.148909437,0.158836732,0.05815386,2531129 3818376 3214800 diagnosis
1953,77.20043573,0.21713017,0.231605514,0.088288912,2385696 2672467 3632862 diagnosis
5190,77.18409586,0.117383531,0.125209099,0.045035357,2531129 2815331 2968349 diagnosis
203,77.17320261,0.121333139,0.129422015,0.046652953,2531129 3818376 diagnosis
2009,77.15686275,0.199523411,0.212824972,0.080267221,2385696 2674432 3818376 diagnosis
1967,77.1459695,0.157109106,0.167583046,0.061645549,2385696 2672467 2968349 diagnosis
2432,77.12962963,0.147151757,0.156961874,0.057409761,2385696 3103062 2968349 diagnosis
2059,77.11328976,0.263283512,0.280835747,0.110204641,2385696 2773545 3818376 diagnosis
17488,77.0751634,0.181315364,0.193403055,0.072155069,3017068 3103062 3632862 diagnosis
5457,77.0751634,0.125512566,0.13388007,0.04837261,2531129 3103062 2968349 diagnosis
20842,77.06971678,0.128465453,0.137029816,0.04959256,3103062 3843934 2968349 diagnosis
3012,76.99346405,0.203690001,0.217269334,0.08214948,2385696 3808600 2674317 diagnosis
2916,76.98257081,0.19016345,0.202841013,0.076074334,2385696 3632862 3551851 diagnosis
3441,76.97712418,0.274848328,0.293171549,0.115911329,2406361 2601230 3632862 diagnosis
4917,76.96078431,0.191016676,0.203751121,0.076454533,2531129 2601230 3336422 diagnosis
8749,76.95533769,0.182706687,0.194887133,0.072768541,2601230 3632862 2968349 diagnosis
20690,76.94989107,0.184406058,0.196699795,0.073519259,3103062 3632862 2674317 diagnosis
2924,76.91721133,0.190493992,0.203193592,0.076221577,2385696 3632862 3556158 diagnosis
1772,76.87908497,0.224942464,0.239938628,0.091906171,2385696 2531129 2773545 diagnosis
2051,76.87363834,0.274543664,0.292846575,0.115759828,2385696 2773545 3428268 diagnosis
2819,76.85729847,0.191367225,0.20412504,0.076610854,2385696 3428268 3818376 diagnosis
6077,76.83551198,0.125848246,0.134238129,0.048511085,2531129 3818376 2968434 diagnosis
8452,76.83006536,0.192986141,0.205851884,0.077333661,2601230 3336422 3818376 diagnosis
3211,76.80283224,0.132954973,0.141818638,0.051455294,2385696 2968349 3556158 diagnosis
24498,76.75925926,0.18844524,0.201008256,0.075309912,3336422 3808600 3818376 diagnosis
2921,76.73747277,0.199031263,0.212300014,0.080045541,2385696 3632862 3556110 diagnosis
8842,76.73747277,0.185832115,0.198220922,0.074150445,2601230 3808600 3818376 diagnosis
3052,76.72657952,0.16621404,0.177294976,0.065562754,2385696 3818376 2968434 diagnosis
2922,76.69389978,0.210427856,0.22445638,0.085214251,2385696 3632862 3096512 diagnosis
2617,76.69389978,0.210062581,0.224066753,0.085047433,2385696 3336422 3808600 diagnosis
24395,76.6503268,0.191080168,0.203818846,0.076482841,3336422 3632862 3808600 diagnosis
1982,76.64488017,0.268396365,0.286289457,0.112716463,2385696 2674432 2773545 diagnosis
2156,76.61764706,0.179151603,0.191095043,0.071203075,2385696 2815331 3818376 diagnosis
2342,76.60130719,0.186675486,0.199120518,0.074524249,2385696 3048778 2674317 diagnosis
2038,76.53594771,0.2577045,0.2748848,0.107483618,2385696 2773545 3048778 diagnosis
4929,76.51416122,0.1495079,0.159475094,0.058407565,2531129 2601230 3780271 diagnosis
4952,76.50326797,0.142584053,0.152089656,0.055483211,2531129 2601230 2968434 diagnosis
14382,76.45424837,0.177761394,0.189612154,0.070592746,2815331 3103062 3632862 diagnosis
1958,76.44335512,0.185349268,0.197705886,0.073936609,2385696 2672467 3818376 diagnosis
1903,76.41067538,0.215679688,0.230058334,0.087621283,2385696 2601230 3744589 diagnosis
4992,76.41067538,0.133462506,0.142360007,0.05166648,2531129 2672467 2968349 diagnosis
4903,76.38888889,0.185538371,0.197907596,0.074020341,2531129 2601230 2674432 diagnosis
6066,76.37799564,0.129392583,0.138018756,0.049976446,2531129 3818376 3551851 diagnosis
1910,76.36165577,0.201913082,0.215373954,0.081345555,2385696 2601230 2674317 diagnosis
5844,76.35076253,0.182916944,0.195111407,0.07286134,2531129 3428268 3818376 diagnosis
20697,76.35076253,0.167894741,0.179087724,0.066290514,3103062 3632862 3556202 diagnosis
2958,76.32897603,0.250756124,0.267473199,0.104123177,2385696 3744589 3808600 diagnosis
18926,76.32897603,0.168971511,0.180236279,0.06675754,3048778 3632862 2674317 diagnosis
20696,76.32352941,0.157955527,0.168485896,0.062007916,3103062 3632862 3551851 diagnosis
2045,76.2962963,0.256629932,0.273738594,0.106961874,2385696 2773545 3336422 diagnosis
1888,76.28540305,0.211421902,0.225516695,0.085668613,2385696 2601230 3104698 diagnosis
10867,76.28540305,0.136824435,0.145946064,0.053068517,2674432 3103062 2968349 diagnosis
92,76.27995643,0.158080079,0.168618751,0.062061269,2385696 3818376 diagnosis
2360,76.2745098,0.157404854,0.167898511,0.061772123,2385696 3048778 2536332 diagnosis
3027,76.26906318,0.243731548,0.259980318,0.100757414,2385696 3808600 2968436 diagnosis
2070,76.25816993,0.227418442,0.242579671,0.093060214,2385696 2773545 3556202 diagnosis
20695,76.24727669,0.165503099,0.176536639,0.065255351,3103062 3632862 2968349 diagnosis
2903,76.2254902,0.244230661,0.260512705,0.100995526,2385696 3632862 3744589 diagnosis
2912,76.2254902,0.199233534,0.21251577,0.080136634,2385696 3632862 2968399 diagnosis
3041,76.2254902,0.164159483,0.175103449,0.0646751,2385696 3818376 3551851 diagnosis
3214,76.22004357,0.136184814,0.145263802,0.052801354,2385696 2968349 2968434 diagnosis
7787,76.21459695,0.219406866,0.234033991,0.089339331,2601230 2672467 3632862 diagnosis
17493,76.21459695,0.154860428,0.165184456,0.060684619,3017068 3103062 3818376 diagnosis
20594,76.1546841,0.202416345,0.215910768,0.081573063,3103062 3428268 3632862 diagnosis
4947,76.14923747,0.151575016,0.161680017,0.059285248,2531129 2601230 3096512 diagnosis
3057,76.14379085,0.171269164,0.182687108,0.067756123,2385696 3843934 2674317 diagnosis
1905,76.13834423,0.221947072,0.236743543,0.090514949,2385696 2601230 3808600 diagnosis
2844,76.10566449,0.226338513,0.241427748,0.092556409,2385696 3500787 3632862 diagnosis
2828,76.10566449,0.160519977,0.171221308,0.063108025,2385696 3428268 2968349 diagnosis
2616,76.06753813,0.175864242,0.187588524,0.069761521,2385696 3336422 3780271 diagnosis
18439,76.0620915,0.160820547,0.171541917,0.063237185,3048778 3103062 3818376 diagnosis
2918,76.01851852,0.189535444,0.20217114,0.07579475,2385696 3632862 3214800 diagnosis
18078,75.98583878,0.189823837,0.20247876,0.075923114,3017068 3808600 3818376 diagnosis
3126,75.98583878,0.163245783,0.174128836,0.064281045,2385696 2674317 3407583 diagnosis
20686,75.96949891,0.180945032,0.193008034,0.071991954,3103062 3632862 3818376 diagnosis
3053,75.96405229,0.161822483,0.172610649,0.063668068,2385696 3818376 2536332 diagnosis
2293,75.94771242,0.202532094,0.216034234,0.081625409,2385696 3017068 3808600 diagnosis
8210,75.9422658,0.213996401,0.228262827,0.086848044,2601230 3061438 3632862 diagnosis
20684,75.9422658,0.183766628,0.196017736,0.073236599,3103062 3632862 3780271 diagnosis
5652,75.93681917,0.137049898,0.146186557,0.053162738,2531129 3336422 2968349 diagnosis
3132,75.89869281,0.232545307,0.248048328,0.095461628,2385696 2674317 2968436 diagnosis
6042,75.89869281,0.152268539,0.162419775,0.059580191,2531129 3808600 2968349 diagnosis
5259,75.87690632,0.270066842,0.288071298,0.113540934,2531129 3005266 3279089 diagnosis
5275,75.86056645,0.260570971,0.277942369,0.108879103,2531129 3005266 3843934 diagnosis
4906,75.86056645,0.156305029,0.166725364,0.061301648,2531129 2601230 2815331 diagnosis
2041,75.85511983,0.263823752,0.281412003,0.110469223,2385696 2773545 3104698 diagnosis
2103,75.83333333,0.225400608,0.240427316,0.092119432,2385696 2804221 3632862 diagnosis
6078,75.81699346,0.127140748,0.135616798,0.049044764,2531129 3818376 2536332 diagnosis
1927,75.81154684,0.183825676,0.196080721,0.073262692,2385696 2601230 2968434 diagnosis
3043,75.80610022,0.170163394,0.18150762,0.067275199,2385696 3818376 3214800 diagnosis
5638,75.78976035,0.208188933,0.222068195,0.084192966,2531129 3336422 3632862 diagnosis
4944,75.7788671,0.13465935,0.14363664,0.05216498,2531129 2601230 3407583 diagnosis
